Title,Date
"The Lord of the Rings: The Fellowship of the Ring","5/29/26"
"Before Granny Gets Us","5/29/26"
"The LEGO Movie 2: The Second Part","5/29/26"
"The Lego Movie","5/29/26"
"Goat","5/29/26"
"Qorin 2","5/29/26"
"The Croods: A New Age","5/28/26"
"Storks","5/28/26"
"Kung Fu Panda","5/28/26"
"Anaconda","5/28/26"
"Kung Fu Panda 2","5/28/26"
"The Mitchells vs. The Machines","5/27/26"
"Snowball Earth: Beyond the Madness","5/27/26"
"Snowball Earth: Good Job!","5/27/26"
"Teen Titans Go!: Season 2: Sandwich Thief / Money Grandma","5/27/26"
"Teen Titans Go!: Season 2: Caramel Apples / Halloween","5/27/26"
"Teen Titans Go!: Season 2: Love Monsters / Baby Hands","5/27/26"
"Teen Titans Go!: Season 2: Salty Codgers / Knowledge","5/27/26"
"Teen Titans Go!: Season 2: Brian / Nature","5/27/26"
"Teen Titans Go!: Season 2: Pirates / I See You","5/27/26"
"Teen Titans Go!: Season 2: Mr. Butt / Man Person","5/27/26"
"Teen Titans Go!: Season 1: Real Magic / Puppets Whaaaaat?","5/27/26"
"Teen Titans Go!: Season 1: Dreams / Grandma Voice","5/27/26"
"Teen Titans Go!: Season 1: Uncle Jokes / Mas y Menos","5/27/26"
"Teen Titans Go!: Season 1: Little Buddies / Missing","5/27/26"
"Teen Titans Go!: Season 1: Brain Food / In and Out","5/27/26"
"Teen Titans Go!: Season 1: Birds / Be Mine","5/27/26"
"Teen Titans Go!: Season 1: Waffles / Opposites","5/27/26"
"Rampage","5/26/26"
"Omukade","5/26/26"
"Maze Runner: Death Cure","5/26/26"
"SPY x FAMILY: Season 1: The Unshaken Path","5/26/26"
"SPY x FAMILY: Season 1: Underground Tennis Tournament Campbelldon","5/26/26"
"SPY x FAMILY: Season 1: Nightfall/Jealousy for the First Time","5/26/26"
"SPY x FAMILY: Season 1: Investigate the General Hospital/Decipher the Arcane Ciphers","5/26/26"
"SPY x FAMILY: Season 1: The Revenge Plot Against Desmond/The Mother Becomes the Wind","5/26/26"
"SPY x FAMILY: Season 1: The Home Tutor Uncle/Daybreak","5/26/26"
"SPY x FAMILY: Season 1: Commence Operation Griffon/Fullmetal Lady/Omelette Rice♡","5/26/26"
"SPY x FAMILY: Season 1: First Contact","5/26/26"
"Teen Titans Go!: Season 1: Legs / Breakfast Cheese","5/26/26"
"Teen Titans Go!: Season 1: Starfire the Terrible / Second Christmas","5/26/26"
"Teen Titans Go!: Season 1: Caged Tiger / Nose Mouth","5/26/26"
"Teen Titans Go!: Season 1: No Power / Sidekick","5/26/26"
"Teen Titans Go!: Season 1: Power Moves / Staring at the Future","5/26/26"
"Teen Titans Go!: Season 1: Books / Lazy Sunday","5/26/26"
"Teen Titans Go!: Season 1: Colors of Raven / The Left Leg","5/26/26"
"Teen Titans Go!: Season 1: Burger vs. Burrito / Matched","5/26/26"
"Teen Titans Go!: Season 1: Terra-ized / Artful Dodgers","5/26/26"
"Teen Titans Go!: Season 1: Meatball Party / Staff Meeting","5/26/26"
"Teen Titans Go!: Season 1: Parasite / Starliar","5/26/26"
"Teen Titans Go!: Season 1: Super Robin / Tower of Power","5/26/26"
"Teen Titans Go!: Season 1: Girls' Night Out / You're Fired","5/26/26"
"Alpha","5/24/26"
"Okja","5/24/26"
"The Crash","5/24/26"
"Spy x Family Code: White","5/24/26"
"SPY x FAMILY: Season 1: Mother and Wife/Friends and Groceries","5/24/26"
"Heaven Official's Blessing: Season 2: Episode 1","5/24/26"
"Rurouni Kenshin: Origins","5/24/26"
"Rurouni Kenshin: -Kyoto Disturbance-: To Kyoto","5/24/26"
"Sword of the Demon Hunter: Kijin Gentosho: Episode 1","5/24/26"
"Mechanical Marie: Episode 2","5/24/26"
"Mechanical Marie: Episode 1","5/24/26"
"Wistoria: Wand and Sword: Season 2: He Said He Would No Longer Hang His Head","5/24/26"
"Wistoria: Wand and Sword: Season 2: The First Bloom","5/24/26"
"The Book of Life","5/24/26"
"Teen Titans Go!: Season 1: Hey Pizza! / Gorilla","5/23/26"
"Teen Titans Go!: Season 1: Ghost Boy / La Larva de Amor","5/23/26"
"Teen Titans Go!: Season 1: Dude Relax! / Laundry Day","5/23/26"
"Teen Titans Go!: Season 1: Double Trouble / The Date","5/23/26"
"Teen Titans Go!: Season 1: Driver's Ed / Dog Hand","5/23/26"
"Teen Titans Go!: Season 1: Legendary Sandwich / Pie Bros","5/23/26"
"The Ramparts of Ice: On Equal Footing","5/23/26"
"The Curse of Bridge Hollow","5/22/26"
"Over the Hedge","5/22/26"
"Trip Ubusan: The Lolas vs Zombies","5/22/26"
"Mama","5/22/26"
"Kuncen","5/22/26"
"Village of the Dead","5/22/26"
"Klaus","5/22/26"
"Swapped","5/22/26"
"Ferdinand","5/21/26"
"Comic 8 Revolution: Santet K4bin3t","5/21/26"
"The School for Good and Evil","5/21/26"
"Into the Storm","5/20/26"
"The Wild Robot","5/19/26"
"SPY x FAMILY: Season 2: The Fearsome Luxury Cruise Ship","5/19/26"
"SPY x FAMILY: Season 2: Plan to Cross the Border","5/19/26"
"The WONDERfools: Limited Series: Every Life Comes With a Surprise Twist","5/19/26"
"Red Notice","5/19/26"
"The Cuphead Show!: Season 1: Roll the Dice","5/19/26"
"Timur","5/19/26"
"Lou","5/19/26"
"Scarlet","5/18/26"
"SPY x FAMILY: Season 2: The Pastry of Knowledge / The Informant's Great Romance Plan II","5/18/26"
"SPY x FAMILY: Season 2: Mission and Family / The Elegant Bondman / The Heart of a Child / Waking Up","5/18/26"
"SPY x FAMILY: Season 2: Bond's Strategy to Stay Alive / Damian's Field Research Trip","5/18/26"
"SPY x FAMILY: Season 2: Follow Mama and Papa","5/18/26"
"SPY x FAMILY: Season 1: Yor's Kitchen/The Great Romance Scheme for the Informant","5/18/26"
"SPY x FAMILY: Season 1: A New Family Member","5/18/26"
"SPY x FAMILY: Season 1: Disarm the Time Bomb","5/18/26"
"Leo","5/17/26"
"The Worst Witch: Season 1: Spelling Bee","5/17/26"
"The Amazing Digital Circus: Beach Episode","5/16/26"
"The Amazing Digital Circus: They All Get Guns","5/16/26"
"SPY x FAMILY: Season 1: Project Apple","5/16/26"
"SPY x FAMILY: Season 1: Penguin Park","5/16/26"
"SPY x FAMILY: Season 1: Stella","5/16/26"
"Wistoria: Wand and Sword: Season 2: The Day of Departure","5/16/26"
"The Ramparts of Ice: Loneliness and Solitude","5/16/26"
"Spider-Man: Into the Spider-Verse","5/16/26"
"Next Gen","5/16/26"
"Slumberland","5/16/26"
"Spider-Man: Across the Spider-Verse","5/16/26"
"Hangout","5/15/26"
"Gunung Kawi","5/15/26"
"Hello Ghost","5/15/26"
"Grizzy and the Lemmings: Season 3: La Légende Des 7 Lemmings","5/15/26"
"Grizzy and the Lemmings: Season 3: Ennemis Pacifiques","5/15/26"
"Grizzy and the Lemmings: Season 3: Shaolin Domestique","5/15/26"
"Grizzy and the Lemmings: Season 3: Médecine pas douce","5/15/26"
"Grizzy and the Lemmings: Season 3: Fortune Lemming","5/15/26"
"Grizzy and the Lemmings: Season 1: Moonwalk Bear","5/15/26"
"Nightbooks","5/15/26"
"The Boss Baby","5/15/26"
"Despicable Me 4","5/15/26"
"Minions & More Volume 1","5/15/26"
"Diary of a Wimpy Kid: Dog Days","5/14/26"
"Pan","5/14/26"
"Over the Moon","5/14/26"
"Vivo","5/14/26"
"I Am Legend","5/14/26"
"Sekawan Limo","5/13/26"
"Woody Woodpecker Goes to Camp","5/13/26"
"Oddballs: Season 2: Toasty's Goodbye","5/13/26"
"Oddballs: Season 2: Mayor Max","5/13/26"
"Oddballs: Season 2: Moral Report","5/13/26"
"Madea’s Destination Wedding","5/13/26"
"Oddballs: Season 2: The Class Act","5/12/26"
"Oddballs: Season 2: Body Swap","5/12/26"
"Oddballs: Season 2: School Poolers","5/12/26"
"Oddballs: Season 2: Partners","5/12/26"
"Oddballs: Season 2: The Show Mustn't Go On","5/12/26"
"Oddballs: Season 1: Nugget Nonsense","5/12/26"
"Oddballs: Season 1: Almost Home Alone","5/12/26"
"Oddballs: Season 1: Blood Excuse","5/12/26"
"Oddballs: Season 1: Grandma's Boy","5/12/26"
"Oddballs: Season 1: Pillow Fight Club","5/12/26"
"Oddballs: Season 1: Behind Frenemy Lines","5/12/26"
"Oddballs: Season 1: Emo like the Wolfstank","5/12/26"
"Oddballs: Season 1: Boy with 2 Brains","5/12/26"
"Oddballs: Season 1: Line Cutters","5/12/26"
"Diary of a Wimpy Kid","5/12/26"
"The Cloverfield Paradox","5/12/26"
"Project Power","5/12/26"
"The Electric State","5/12/26"
"Here Comes the Boom","5/11/26"
"7 Bears: Limited Series: Cinderella's Quiceanbeara / Puss' N Bears","5/11/26"
"7 Bears: Limited Series: The Bear Prince / The Ugly Guardling","5/11/26"
"7 Bears: Limited Series: Bears Vs. Dwarfs / The Bear in the Magic Lamp","5/11/26"
"7 Bears: Limited Series: The Pied Butt Scratcher / Princess & The Pea-tato","5/11/26"
"7 Bears: Limited Series: The Big, Bad Favor / Basket Case","5/11/26"
"Sixth Sense Agency: Episode 19","5/11/26"
"Hantu Kak Limah","5/11/26"
"Seal Team","5/11/26"
"Twisters","5/11/26"
"STAND BY ME Doraemon","5/11/26"
"Trap","5/11/26"
"Fight Back to School","5/10/26"
"Hotel Transylvania 2","5/10/26"
"Flipper","5/10/26"
"Troll","5/10/26"
"Last Hero in China","5/10/26"
"Forbidden City Cop","5/10/26"
"The Peanuts Movie","5/9/26"
"It Takes Two","5/9/26"
"The Sea Beast","5/9/26"
"Dandelion: Those Who Laugh At Pudding Will Cry Over Pudding","5/9/26"
"The Ramparts of Ice: New Semester","5/9/26"
"Fruits Basket: 1st season: See You When You Get Back","5/9/26"
"50 First Dates","5/9/26"
"Duck Duck Goose","5/8/26"
"Migration","5/8/26"
"The Thundermans: Breaking Dad","5/8/26"
"The Thundermans: Up, Up, and Vacay!","5/8/26"
"The Thundermans: Paging Dr. Thunderman","5/8/26"
